imdb_id,nota_letterboxd,avaliacoes_letterboxd,diretor,url_letterboxd
tt0046672,3.56,34903,Richard Fleischer,https://letterboxd.com/film/20000-leagues-under-the-sea-1954/
tt0062622,4.23,1609748,Stanley Kubrick,https://letterboxd.com/film/2001-a-space-odyssey/
tt1190080,2.63,504328,Roland Emmerich,https://letterboxd.com/film/2012/
tt9006564,3.71,16322,Jude Anthany Joseph,https://letterboxd.com/film/2018-2023/
tt38263655,3.51,234,Joel Gallen,https://letterboxd.com/film/2025-rock-roll-hall-of-fame-induction-ceremony/
tt0212712,4.05,154023,Wong Kar-Wai,https://letterboxd.com/film/2046/
tt1918734,2.34,9474,Seth Larney,https://letterboxd.com/film/2067-2020/
tt22042346,2.43,9037,Asif Kapadia,https://letterboxd.com/film/2073/
tt15340724,4.07,323761,Bang Woo-ri,https://letterboxd.com/film/20th-century-girl/
tt1711425,2.74,73885,"Jon Lucas, Scott Moore",https://letterboxd.com/film/21-over/
tt1232829,3.64,1484940,"Phil Lord, Christopher Miller",https://letterboxd.com/film/21-jump-street/
tt7280898,3.24,53361,Paul Greengrass,https://letterboxd.com/film/22-july/
tt41983440,3.45,5696,Markus Goller,https://letterboxd.com/film/23-000-lives/
tt0307901,3.86,125889,Spike Lee,https://letterboxd.com/film/25th-hour/
tt0988595,3.48,1057402,Anne Fletcher,https://letterboxd.com/film/27-dresses/
tt38095263,3.22,10036,Daniel Hendler,https://letterboxd.com/film/27-nights/
tt9695156,3.7,6080,Ravi L. Bharwani,https://letterboxd.com/film/27-steps-of-may/
tt0191754,3.06,63936,Betty Thomas,https://letterboxd.com/film/28-days/
tt0289043,3.73,1486821,Danny Boyle,https://letterboxd.com/film/28-days-later/
tt0463854,2.91,699607,Juan Carlos Fresnadillo,https://letterboxd.com/film/28-weeks-later/
tt10548174,3.43,1402093,Danny Boyle,https://letterboxd.com/film/28-years-later/
tt32141377,3.81,837528,Nia DaCosta,https://letterboxd.com/film/28-years-later-the-bone-temple/
tt37737315,2.88,13215,Rathna Kumar,https://letterboxd.com/film/29-2026/
